country,dystopia_residual,economy,family,freedom,generosity,rank,score,health,lower_confidence,lower_whisker,region,standard_error,trust,upper_confidence,upper_whisker,year
Puerto Rico,3.0076,1.35943,1.08113,0.46823,0.22202,15,7.039,0.77758,6.794,NULL,Latin America and Caribbean,NULL,0.12275,7.284,NULL,2016
Germany,2.50931,1.44787,1.09774,0.53466,0.30452,16,6.994,0.81487,6.93,NULL,Western Europe,NULL,0.28551,7.058,NULL,2016
Brazil,3.50733,1.08754,1.03938,0.40425,0.15776,17,6.952,0.61415,6.875,NULL,Latin America and Caribbean,NULL,0.14166,7.029,NULL,2016
Belgium,2.61355,1.42539,1.05249,0.51354,0.2424,18,6.929,0.81959,6.861,NULL,Western Europe,NULL,0.26248,6.997,NULL,2016
Ireland,2.15988,1.48341,1.16157,0.54008,0.44963,19,6.907,0.81455,6.836,NULL,Western Europe,NULL,0.29754,6.978,NULL,2016
Luxembourg,2.11055,1.69752,1.03999,0.5487,0.27571,20,6.871,0.84542,6.804,NULL,Western Europe,NULL,0.35329,6.938,NULL,2016
Mexico,3.55906,1.11508,0.7146,0.37709,0.11735,21,6.778,0.71143,6.68,NULL,Latin America and Caribbean,NULL,0.18355,6.876,NULL,2016
Singapore,1.99375,1.64555,0.86758,0.4877,0.32706,22,6.739,0.94719,6.674,NULL,Southeastern Asia,NULL,0.46987,6.804,NULL,2016
United Kingdom,2.14999,1.40283,1.08672,0.50036,0.50156,23,6.725,0.80991,6.647,NULL,Western Europe,NULL,0.27399,6.803,NULL,2016
Chile,2.95505,1.2167,0.90587,0.37789,0.31595,24,6.705,0.81883,6.615,NULL,Latin America and Caribbean,NULL,0.11451,6.795,NULL,2016
Panama,3.00559,1.18306,0.98912,0.48927,0.2418,25,6.701,0.70835,6.601,NULL,Latin America and Caribbean,NULL,0.08423,6.801,NULL,2016
Argentina,3.12985,1.15137,1.06612,0.42284,0.10989,26,6.65,0.69711,6.56,NULL,Latin America and Caribbean,NULL,0.07296,6.74,NULL,2016
Czech Republic,2.96211,1.30915,1.00793,0.41418,0.09929,27,6.596,0.76376,6.515,NULL,Central and Eastern Europe,NULL,0.03986,6.677,NULL,2016
United Arab Emirates,2.21507,1.57352,0.87114,0.56215,0.26591,28,6.573,0.72993,6.494,NULL,Middle East and Northern Africa,NULL,0.35561,6.652,NULL,2016
Uruguay,2.67139,1.18157,1.03143,0.54388,0.18056,29,6.545,0.72183,6.456,NULL,Latin America and Caribbean,NULL,0.21394,6.634,NULL,2016
Malta,1.99032,1.30782,1.09879,0.54994,0.56237,30,6.488,0.80315,6.409,NULL,Western Europe,NULL,0.17554,6.567,NULL,2016
Colombia,3.17471,1.03032,1.02169,0.44735,0.15626,31,6.481,0.59659,6.384,NULL,Latin America and Caribbean,NULL,0.05399,6.578,NULL,2016
France,2.4744,1.39488,1.00508,0.46562,0.1216,32,6.478,0.83795,6.397,NULL,Western Europe,NULL,0.17808,6.559,NULL,2016
Thailand,2.5796,1.0893,1.04477,0.49553,0.58696,33,6.474,0.64915,6.396,NULL,Southeastern Asia,NULL,0.02833,6.552,NULL,2016
Saudi Arabia,2.61482,1.48953,0.84829,0.37904,0.15457,34,6.379,0.59267,6.287,NULL,Middle East and Northern Africa,NULL,0.30008,6.471,NULL,2016
Taiwan,2.61523,1.39729,0.92624,0.32377,0.25495,34,6.379,0.79565,6.305,NULL,Eastern Asia,NULL,0.0663,6.453,NULL,2016
Qatar,1.58224,1.82427,0.87964,0.56679,0.32388,36,6.375,0.71723,6.178,NULL,Middle East and Northern Africa,NULL,0.48049,6.572,NULL,2016
Spain,2.39663,1.34253,1.12945,0.37545,0.17665,37,6.361,0.87896,6.288,NULL,Western Europe,NULL,0.06137,6.434,NULL,2016
Algeria,3.40904,1.05266,0.83309,0.21006,0.07044,38,6.355,0.61804,6.227,NULL,Middle East and Northern Africa,NULL,0.16157,6.483,NULL,2016
Guatemala,3.19863,0.83454,0.87119,0.50379,0.28808,39,6.324,0.54039,6.213,NULL,Latin America and Caribbean,NULL,0.08701,6.435,NULL,2016
Suriname,3.06852,1.09686,0.77866,0.52234,0.16665,40,6.269,0.50933,6.073,NULL,Latin America and Caribbean,NULL,0.12692,6.465,NULL,2016
Kuwait,2.28085,1.61714,0.87758,0.43166,0.15965,41,6.239,0.63569,6.154,NULL,Middle East and Northern Africa,NULL,0.23669,6.324,NULL,2016
Bahrain,2.27405,1.44024,0.94397,0.47375,0.17147,42,6.218,0.65696,6.128,NULL,Middle East and Northern Africa,NULL,0.25772,6.308,NULL,2016
Trinidad & Tobago,2.51394,1.32572,0.98569,0.48453,0.31935,43,6.168,0.52608,5.95,NULL,Latin America and Caribbean,NULL,0.01241,6.386,NULL,2016
Venezuela,2.97468,1.13367,1.03302,0.19847,0.0425,44,6.084,0.61904,5.973,NULL,Latin America and Caribbean,NULL,0.08304,6.195,NULL,2016
Slovakia,2.61065,1.27973,1.08268,0.23391,0.13837,45,6.078,0.70367,5.996,NULL,Central and Eastern Europe,NULL,0.02947,6.16,NULL,2016
El Salvador,3.22134,0.8737,0.80975,0.37269,0.08877,46,6.068,0.596,5.967,NULL,Latin America and Caribbean,NULL,0.10613,6.169,NULL,2016
Malaysia,2.35384,1.25142,0.88025,0.39031,0.41474,47,6.005,0.62366,5.921,NULL,Southeastern Asia,NULL,0.09081,6.089,NULL,2016
Nicaragua,2.82428,0.69384,0.89521,0.46582,0.29773,48,5.992,0.65213,5.877,NULL,Latin America and Caribbean,NULL,0.16292,6.107,NULL,2016
Uzbekistan,2.34638,0.73591,1.1681,0.60848,0.34326,49,5.987,0.50163,5.896,NULL,Central and Eastern Europe,NULL,0.28333,6.078,NULL,2016
Italy,2.34918,1.35495,1.04167,0.18827,0.16684,50,5.977,0.85102,5.898,NULL,Western Europe,NULL,0.02556,6.056,NULL,2016
Ecuador,2.77366,0.97306,0.85974,0.4027,0.10074,51,5.976,0.68613,5.88,NULL,Latin America and Caribbean,NULL,0.18037,6.072,NULL,2016
Belize,3.08039,0.87616,0.68655,0.51231,0.23684,52,5.956,0.45569,5.71,NULL,Latin America and Caribbean,NULL,0.10771,6.202,NULL,2016
Japan,1.80584,1.38007,1.06054,0.46761,0.10224,53,5.921,0.91491,5.85,NULL,Eastern Asia,NULL,0.18985,5.992,NULL,2016
Kazakhstan,2.49325,1.22943,0.95544,0.4052,0.15011,54,5.919,0.57386,5.837,NULL,Central and Eastern Europe,NULL,0.11132,6.001,NULL,2016
Moldova,3.38007,0.69177,0.83132,0.25202,0.19997,55,5.897,0.52309,5.823,NULL,Central and Eastern Europe,NULL,0.01903,5.971,NULL,2016
Russia,2.59115,1.23228,1.05261,0.32682,0.02736,56,5.856,0.58991,5.789,NULL,Central and Eastern Europe,NULL,0.03586,5.923,NULL,2016
Poland,2.20035,1.24585,1.04685,0.4519,0.14443,57,5.835,0.69058,5.749,NULL,Central and Eastern Europe,NULL,0.055,5.921,NULL,2016
South Korea,2.35015,1.35948,0.72194,0.25168,0.18824,57,5.835,0.88645,5.747,NULL,Eastern Asia,NULL,0.07716,5.923,NULL,2016
Bolivia,2.91635,0.79422,0.83779,0.50961,0.21698,59,5.822,0.4697,5.74,NULL,Latin America and Caribbean,NULL,0.07746,5.904,NULL,2016
Lithuania,2.60525,1.2692,1.06411,0.18929,0.02025,60,5.813,0.64674,5.734,NULL,Central and Eastern Europe,NULL,0.0182,5.892,NULL,2016
Belarus,2.38582,1.13062,1.04993,0.29091,0.13942,61,5.802,0.63104,5.723,NULL,Central and Eastern Europe,NULL,0.17457,5.881,NULL,2016
North Cyprus,1.93447,1.31141,0.81826,0.43596,0.26322,62,5.771,0.84142,5.67,NULL,Western Europe,NULL,0.16578,5.872,NULL,2016
Slovenia,1.79522,1.29947,1.05613,0.53164,0.25738,63,5.768,0.79151,5.683,NULL,Central and Eastern Europe,NULL,0.03635,5.853,NULL,2016
Peru,2.73117,0.99602,0.81255,0.37502,0.14527,64,5.743,0.62994,5.647,NULL,Latin America and Caribbean,NULL,0.05292,5.839,NULL,2016
Turkmenistan,2.21489,1.08017,1.03817,0.37408,0.22567,65,5.658,0.44006,5.58,NULL,Central and Eastern Europe,NULL,0.28467,5.736,NULL,2016
Mauritius,2.20223,1.14372,0.75695,0.46145,0.36951,66,5.648,0.66189,5.507,NULL,Sub-Saharan Africa,NULL,0.05203,5.789,NULL,2016
Libya,2.39374,1.06688,0.95076,0.40672,0.17087,67,5.615,0.52304,5.406,NULL,Middle East and Northern Africa,NULL,0.10339,5.824,NULL,2016
Latvia,2.20859,1.21788,0.95025,0.27996,0.17445,68,5.56,0.63952,5.486,NULL,Central and Eastern Europe,NULL,0.0889,5.634,NULL,2016
Cyprus,2.04497,1.31857,0.70697,0.29507,0.27906,69,5.546,0.8488,5.442,NULL,Western Europe,NULL,0.05228,5.65,NULL,2016
Paraguay,2.16091,0.89373,1.11111,0.46235,0.25296,70,5.538,0.58295,5.453,NULL,Latin America and Caribbean,NULL,0.07396,5.623,NULL,2016
Romania,2.45184,1.1697,0.72803,0.36712,0.12889,71,5.528,0.67602,5.427,NULL,Central and Eastern Europe,NULL,0.00679,5.629,NULL,2016
Estonia,1.81985,1.27964,1.05163,0.41511,0.08423,72,5.517,0.68098,5.437,NULL,Central and Eastern Europe,NULL,0.18519,5.597,NULL,2016
Jamaica,2.35682,0.89333,0.96372,0.43597,0.22245,73,5.51,0.59469,5.315,NULL,Latin America and Caribbean,NULL,0.04294,5.705,NULL,2016
Croatia,2.52462,1.18649,0.60809,0.23907,0.18434,74,5.488,0.70524,5.402,NULL,Central and Eastern Europe,NULL,0.04002,5.574,NULL,2016
Hong Kong,0.92614,1.5107,0.87021,0.48079,0.40097,75,5.458,0.95277,5.362,NULL,Eastern Asia,NULL,0.31647,5.554,NULL,2016
Somalia,3.83772,0,0.33613,0.56778,0.27225,76,5.44,0.11466,5.321,NULL,Sub-Saharan Africa,NULL,0.3118,5.559,NULL,2016
Kosovo,2.80998,0.90145,0.66062,0.14396,0.27992,77,5.401,0.54,5.308,NULL,Central and Eastern Europe,NULL,0.06547,5.494,NULL,2016
Turkey,2.29074,1.16492,0.87717,0.23889,0.04707,78,5.389,0.64718,5.295,NULL,Middle East and Northern Africa,NULL,0.12348,5.483,NULL,2016
Indonesia,2.03171,0.95104,0.87625,0.39237,0.56521,79,5.314,0.49374,5.237,NULL,Southeastern Asia,NULL,0.00322,5.391,NULL,2016
Jordan,2.20142,0.99673,0.86216,0.36023,0.14262,80,5.303,0.60712,5.187,NULL,Middle East and Northern Africa,NULL,0.13297,5.419,NULL,2016
Azerbaijan,2.2735,1.12373,0.76042,0.35327,0.0564,81,5.291,0.54504,5.226,NULL,Central and Eastern Europe,NULL,0.17914,5.356,NULL,2016
Philippines,2.23484,0.81217,0.87877,0.54854,0.21674,82,5.279,0.47036,5.16,NULL,Southeastern Asia,NULL,0.11757,5.398,NULL,2016
China,2.17087,1.0278,0.79381,0.44012,0.04959,83,5.245,0.73561,5.199,NULL,Eastern Asia,NULL,0.02745,5.291,NULL,2016
Bhutan,1.82916,0.8527,0.90836,0.46074,0.48546,84,5.196,0.49759,5.138,NULL,Southern Asia,NULL,0.1616,5.254,NULL,2016
Kyrgyzstan,2.28136,0.56044,0.95434,0.40212,0.38432,85,5.185,0.55449,5.103,NULL,Central and Eastern Europe,NULL,0.04762,5.267,NULL,2016
Serbia,2.27539,1.03437,0.81329,0.15718,0.20737,86,5.177,0.6458,5.083,NULL,Central and Eastern Europe,NULL,0.04339,5.271,NULL,2016
Bosnia and Herzegovina,2.48406,0.93383,0.64367,0.09511,0.29889,87,5.163,0.70766,5.063,NULL,Central and Eastern Europe,NULL,0,5.263,NULL,2016
Montenegro,2.25531,1.07838,0.74173,0.15111,0.17191,88,5.161,0.63533,5.055,NULL,Central and Eastern Europe,NULL,0.12721,5.267,NULL,2016
Dominican Republic,1.69626,1.02787,0.99496,0.52259,0.21286,89,5.155,0.57669,5.037,NULL,Latin America and Caribbean,NULL,0.12372,5.273,NULL,2016
Morocco,2.94891,0.84058,0.38595,0.25646,0.04053,90,5.151,0.59471,5.058,NULL,Middle East and Northern Africa,NULL,0.08404,5.244,NULL,2016
Hungary,1.95473,1.24142,0.93164,0.1977,0.099,91,5.145,0.67608,5.056,NULL,Central and Eastern Europe,NULL,0.04472,5.234,NULL,2016
Pakistan,3.18286,0.68816,0.26135,0.14622,0.31185,92,5.132,0.40306,5.038,NULL,Southern Asia,NULL,0.1388,5.226,NULL,2016
Lebanon,2.07339,1.12268,0.64184,0.26228,0.23693,93,5.129,0.76171,5.031,NULL,Middle East and Northern Africa,NULL,0.03061,5.227,NULL,2016
Portugal,1.53015,1.27607,0.94367,0.44727,0.11691,94,5.123,0.79363,5.03,NULL,Western Europe,NULL,0.01521,5.216,NULL,2016
Macedonia,2.08947,1.0193,0.78236,0.27668,0.23507,95,5.121,0.64738,5.017,NULL,Central and Eastern Europe,NULL,0.07047,5.225,NULL,2016
Vietnam,1.9418,0.74037,0.79117,0.55954,0.25075,96,5.061,0.66157,4.991,NULL,Southeastern Asia,NULL,0.11556,5.131,NULL,2016
Somaliland Region,2.43801,0.25558,0.75862,0.3913,0.51479,97,5.057,0.33108,4.934,NULL,Sub-Saharan Africa,NULL,0.36794,5.18,NULL,2016
Tunisia,2.68413,0.97724,0.43165,0.23553,0.03936,98,5.045,0.59577,4.965,NULL,Middle East and Northern Africa,NULL,0.0817,5.125,NULL,2016
Greece,2.12944,1.24886,0.75473,0.05822,0,99,5.033,0.80029,4.935,NULL,Western Europe,NULL,0.04127,5.131,NULL,2016
Tajikistan,2.39106,0.48835,0.75602,0.43408,0.25998,100,4.996,0.53119,4.923,NULL,Central and Eastern Europe,NULL,0.13509,5.069,NULL,2016
Mongolia,1.53586,0.98853,1.08983,0.35972,0.34539,101,4.907,0.55469,4.838,NULL,Eastern Asia,NULL,0.03285,4.976,NULL,2016
Laos,2.08637,0.68042,0.5497,0.52168,0.43079,102,4.876,0.38291,4.742,NULL,Southeastern Asia,NULL,0.22423,5.01,NULL,2016
Nigeria,2.88586,0.75216,0.64498,0.27854,0.23219,103,4.875,0.05108,4.75,NULL,Sub-Saharan Africa,NULL,0.0305,5,NULL,2016
Honduras,2.29551,0.69429,0.75596,0.26755,0.2044,104,4.871,0.58383,4.75,NULL,Latin America and Caribbean,NULL,0.06906,4.992,NULL,2016
Iran,1.99817,1.11758,0.38857,0.22544,0.38538,105,4.813,0.64232,4.703,NULL,Middle East and Northern Africa,NULL,0.0557,4.923,NULL,2016
Zambia,2.58991,0.61202,0.6376,0.42662,0.17866,106,4.795,0.23573,4.645,NULL,Sub-Saharan Africa,NULL,0.11479,4.945,NULL,2016
Nepal,2.32694,0.44626,0.69699,0.37012,0.3816,107,4.793,0.50073,4.698,NULL,Southern Asia,NULL,0.07008,4.888,NULL,2016
Palestinian Territories,2.40364,0.67024,0.71629,0.17744,0.11154,108,4.754,0.56844,4.649,NULL,Middle East and Northern Africa,NULL,0.10613,4.859,NULL,2016
Albania,1.92816,0.9553,0.50163,0.31866,0.1684,109,4.655,0.73007,4.546,NULL,Central and Eastern Europe,NULL,0.05301,4.764,NULL,2016
Bangladesh,2.60904,0.54177,0.24749,0.39778,0.19132,110,4.643,0.52989,4.56,NULL,Southern Asia,NULL,0.12583,4.726,NULL,2016
Sierra Leone,3.01402,0.36485,0.628,0.30685,0.23897,111,4.635,0,4.505,NULL,Sub-Saharan Africa,NULL,0.08196,4.765,NULL,2016
Iraq,1.81657,1.07474,0.59205,0.24856,0.19589,112,4.575,0.51076,4.446,NULL,Middle East and Northern Africa,NULL,0.13636,4.704,NULL,2016
Namibia,1.92198,0.93287,0.70362,0.48614,0.07795,113,4.574,0.34745,4.374,NULL,Sub-Saharan Africa,NULL,0.10398,4.774,NULL,2016
Cameroon,2.5198,0.52497,0.62542,0.42736,0.2268,114,4.513,0.12698,4.417,NULL,Sub-Saharan Africa,NULL,0.06126,4.609,NULL,2016
Ethiopia,2.65614,0.29283,0.37932,0.36703,0.29522,115,4.508,0.34578,4.425,NULL,Sub-Saharan Africa,NULL,0.1717,4.591,NULL,2016
South Africa,1.64227,1.02416,0.96053,0.42483,0.13656,116,4.459,0.18611,4.371,NULL,Sub-Saharan Africa,NULL,0.08415,4.547,NULL,2016
Sri Lanka,0.91681,0.97318,0.84783,0.50817,0.46978,117,4.415,0.62007,4.322,NULL,Southern Asia,NULL,0.07964,4.508,NULL,2016
India,2.18032,0.74036,0.29247,0.40285,0.25028,118,4.404,0.45091,4.351,NULL,Southern Asia,NULL,0.08722,4.457,NULL,2016
Myanmar,1.50655,0.34112,0.69981,0.42692,0.81971,119,4.395,0.3988,4.327,NULL,Southeastern Asia,NULL,0.20243,4.463,NULL,2016
Egypt,1.96895,0.95395,0.49813,0.18847,0.12706,120,4.362,0.52116,4.259,NULL,Middle East and Northern Africa,NULL,0.10393,4.465,NULL,2016
Armenia,1.97864,0.86086,0.62477,0.14037,0.07793,121,4.36,0.64083,4.266,NULL,Central and Eastern Europe,NULL,0.03616,4.454,NULL,2016
Kenya,1.88326,0.52267,0.7624,0.40576,0.41328,122,4.356,0.30147,4.259,NULL,Sub-Saharan Africa,NULL,0.06686,4.453,NULL,2016
Ukraine,1.50066,0.87287,1.01413,0.12859,0.20363,123,4.324,0.58628,4.236,NULL,Central and Eastern Europe,NULL,0.01829,4.412,NULL,2016
Ghana,2.2002,0.63107,0.49353,0.40973,0.21203,124,4.276,0.29681,4.185,NULL,Sub-Saharan Africa,NULL,0.0326,4.367,NULL,2016
Congo (Kinshasa),2.74924,0.05661,0.80676,0.15602,0.25458,125,4.272,0.188,4.191,NULL,Sub-Saharan Africa,NULL,0.06075,4.353,NULL,2016
Georgia,1.87031,0.83792,0.19249,0.32461,0.06786,126,4.252,0.64035,4.164,NULL,Central and Eastern Europe,NULL,0.3188,4.34,NULL,2016
Congo (Brazzaville),2.10681,0.77109,0.47799,0.37938,0.12077,127,4.236,0.28212,4.107,NULL,Sub-Saharan Africa,NULL,0.09753,4.365,NULL,2016
Senegal,1.97861,0.44314,0.77416,0.31056,0.19103,128,4.219,0.40457,4.151,NULL,Sub-Saharan Africa,NULL,0.11681,4.287,NULL,2016
Bulgaria,1.15377,1.11306,0.92542,0.21219,0.12793,129,4.217,0.67806,4.104,NULL,Central and Eastern Europe,NULL,0.00615,4.33,NULL,2016
Mauritania,1.9263,0.61391,0.84142,0.1268,0.22686,130,4.201,0.28639,4.127,NULL,Sub-Saharan Africa,NULL,0.17955,4.275,NULL,2016
Zimbabwe,2.4427,0.35041,0.71478,0.25429,0.18503,131,4.193,0.1595,4.101,NULL,Sub-Saharan Africa,NULL,0.08582,4.285,NULL,2016
Malawi,2.82859,0.08709,0.147,0.4143,0.30968,132,4.156,0.29364,4.041,NULL,Sub-Saharan Africa,NULL,0.07564,4.271,NULL,2016
Sudan,2.10995,0.63069,0.81928,0,0.18077,133,4.139,0.29759,3.928,NULL,Sub-Saharan Africa,NULL,0.10039,4.35,NULL,2016
Gabon,1.45332,1.15851,0.72368,0.28098,0.06244,134,4.121,0.3494,4.03,NULL,Sub-Saharan Africa,NULL,0.09314,4.212,NULL,2016
Mali,2.11087,0.31292,0.86333,0.27544,0.21064,135,4.073,0.16347,3.988,NULL,Sub-Saharan Africa,NULL,0.13647,4.158,NULL,2016
Haiti,2.37116,0.34097,0.29561,0.12072,0.47958,136,4.028,0.27494,3.893,NULL,Latin America and Caribbean,NULL,0.14476,4.163,NULL,2016
Botswana,0.96741,1.09426,0.89186,0.44089,0.12425,137,3.974,0.34752,3.875,NULL,Sub-Saharan Africa,NULL,0.10769,4.073,NULL,2016
Comoros,2.25632,0.27509,0.60323,0.15412,0.1827,138,3.956,0.29981,3.86,NULL,Sub-Saharan Africa,NULL,0.18437,4.052,NULL,2016
Ivory Coast,1.97478,0.55507,0.57576,0.40663,0.20338,139,3.916,0.04476,3.826,NULL,Sub-Saharan Africa,NULL,0.1553,4.006,NULL,2016
Cambodia,1.31573,0.55604,0.5375,0.58852,0.40339,140,3.907,0.42494,3.798,NULL,Southeastern Asia,NULL,0.08092,4.016,NULL,2016
Angola,2.09459,0.84731,0.66366,0.00589,0.12071,141,3.866,0.04991,3.753,NULL,Sub-Saharan Africa,NULL,0.08434,3.979,NULL,2016
Niger,2.09469,0.1327,0.6053,0.38041,0.2097,142,3.856,0.26162,3.781,NULL,Sub-Saharan Africa,NULL,0.17176,3.931,NULL,2016
South Sudan,2.50929,0.39394,0.18519,0.19662,0.25899,143,3.832,0.15781,3.596,NULL,Sub-Saharan Africa,NULL,0.13015,4.068,NULL,2016
Chad,2.30637,0.42214,0.63178,0.12807,0.18667,144,3.763,0.03824,3.672,NULL,Sub-Saharan Africa,NULL,0.04952,3.854,NULL,2016
Burkina Faso,1.87319,0.31995,0.63054,0.3337,0.24353,145,3.739,0.21297,3.647,NULL,Sub-Saharan Africa,NULL,0.12533,3.831,NULL,2016
Uganda,1.51416,0.34719,0.90981,0.43653,0.27102,145,3.739,0.19625,3.629,NULL,Sub-Saharan Africa,NULL,0.06442,3.849,NULL,2016
Yemen,1.97295,0.57939,0.47493,0.2287,0.09821,147,3.724,0.31048,3.621,NULL,Middle East and Northern Africa,NULL,0.05892,3.827,NULL,2016
Madagascar,2.15075,0.27954,0.46115,0.13684,0.2204,148,3.695,0.37109,3.621,NULL,Sub-Saharan Africa,NULL,0.07506,3.769,NULL,2016
Tanzania,1.37769,0.47155,0.77623,0.3176,0.31472,149,3.666,0.357,3.561,NULL,Sub-Saharan Africa,NULL,0.05099,3.771,NULL,2016
Liberia,2.23284,0.10706,0.50353,0.25748,0.24063,150,3.622,0.23165,3.463,NULL,Sub-Saharan Africa,NULL,0.04852,3.781,NULL,2016
Guinea,2.15604,0.22415,0.3109,0.30953,0.29914,151,3.607,0.18829,3.533,NULL,Sub-Saharan Africa,NULL,0.1192,3.681,NULL,2016
Rwanda,0.96819,0.32846,0.61586,0.5432,0.23552,152,3.515,0.31865,3.444,NULL,Sub-Saharan Africa,NULL,0.50521,3.586,NULL,2016
Benin,2.10812,0.39499,0.10419,0.39747,0.2018,153,3.484,0.21028,3.404,NULL,Sub-Saharan Africa,NULL,0.06681,3.564,NULL,2016
Afghanistan,2.14558,0.38227,0.11037,0.1643,0.31268,154,3.36,0.17344,3.288,NULL,Southern Asia,NULL,0.07112,3.432,NULL,2016
Togo,2.1354,0.28123,0,0.34678,0.17517,155,3.303,0.24811,3.192,NULL,Sub-Saharan Africa,NULL,0.11587,3.414,NULL,2016
Syria,0.81789,0.74719,0.14866,0.06912,0.48397,156,3.069,0.62994,2.936,NULL,Middle East and Northern Africa,NULL,0.17233,3.202,NULL,2016
Burundi,2.10404,0.06831,0.23442,0.0432,0.2029,157,2.905,0.15747,2.732,NULL,Sub-Saharan Africa,NULL,0.09419,3.078,NULL,2016
Norway,2.277026653,1.616463184,1.53352356,0.635422587,0.362012237,1,7.537000179,0.796666503,NULL,7.479555538,Western Europe,NULL,0.315963835,NULL,7.594444821,2017
Denmark,2.313707352,1.482383013,1.551121593,0.626006722,0.355280489,2,7.521999836,0.792565525,NULL,7.462271607,Western Europe,NULL,0.400770068,NULL,7.581728065,2017
Iceland,2.322715282,1.48063302,1.610574007,0.627162635,0.475540221,3,7.504000187,0.833552122,NULL,7.385969901,Western Europe,NULL,0.153526559,NULL,7.622030473,2017
Switzerland,2.276716232,1.564979553,1.516911745,0.620070577,0.290549278,4,7.493999958,0.858131289,NULL,7.426227496,Western Europe,NULL,0.367007285,NULL,7.56177242,2017
Finland,2.430181503,1.443571925,1.540246725,0.617950857,0.245482773,5,7.468999863,0.80915767,NULL,7.41045765,Western Europe,NULL,0.382611543,NULL,7.527542076,2017
Netherlands,2.294804096,1.503944635,1.428939223,0.585384488,0.47048983,6,7.376999855,0.810696125,NULL,7.326573869,Western Europe,NULL,0.282661825,NULL,7.427425841,2017
Canada,2.187264442,1.479204416,1.481348991,0.611100912,0.435539722,7,7.315999985,0.834557652,NULL,7.247597134,North America,NULL,0.287371516,NULL,7.384402835,2017
New Zealand,2.046456337,1.405706048,1.548195124,0.61406213,0.500005126,8,7.31400013,0.816759706,NULL,7.248489818,Australia and New Zealand,NULL,0.382816702,NULL,7.379510442,2017
Sweden,2.097537994,1.494387269,1.478162169,0.612924099,0.385399252,9,7.28399992,0.830875158,NULL,7.223904962,Western Europe,NULL,0.384398729,NULL,7.344094877,2017
Australia,2.065210819,1.484414935,1.510041952,0.601607382,0.47769925,10,7.28399992,0.843886793,NULL,7.211348615,Australia and New Zealand,NULL,0.30118373,NULL,7.356651225,2017
Israel,2.801757336,1.375382423,1.376289964,0.405988604,0.330082655,11,7.212999821,0.838404,NULL,7.146146385,Middle East and Northern Africa,NULL,0.0852421,NULL,7.279853256,2017
Costa Rica,2.898639202,1.109706283,1.416403651,0.58013165,0.214613229,12,7.078999996,0.759509265,NULL,6.989888326,Latin America and Caribbean,NULL,0.100106589,NULL,7.168111666,2017
Austria,2.138506413,1.487097263,1.459944963,0.56776619,0.316472322,13,7.006000042,0.815328419,NULL,6.941330272,Western Europe,NULL,0.221060365,NULL,7.070669812,2017
United States,2.218113422,1.546259284,1.419920564,0.505740523,0.392578781,14,6.993000031,0.774286628,NULL,6.911343313,North America,NULL,0.135638788,NULL,7.074656748,2017
Ireland,1.773869038,1.535706639,1.558231115,0.573110342,0.427858323,15,6.977000237,0.809782624,NULL,6.910648805,Western Europe,NULL,0.298388153,NULL,7.043351668,2017
Germany,2.015769958,1.487923384,1.472520351,0.562511384,0.33626917,16,6.951000214,0.798950732,NULL,6.896618858,Western Europe,NULL,0.276731938,NULL,7.005381569,2017
Belgium,2.124210358,1.463780761,1.462312698,0.539770722,0.231503338,17,6.890999794,0.818091869,NULL,6.826178838,Western Europe,NULL,0.251343131,NULL,6.95582075,2017
Luxembourg,1.619512081,1.741943598,1.457583666,0.596627891,0.283180982,18,6.862999916,0.845089495,NULL,6.802313732,Western Europe,NULL,0.318834424,NULL,6.9236861,2017
United Kingdom,1.704143524,1.44163394,1.49646008,0.508190036,0.492774159,19,6.714000225,0.805335939,NULL,6.644208689,Western Europe,NULL,0.265428066,NULL,6.783791761,2017
Chile,2.509585857,1.25278461,1.284024954,0.376895279,0.326662421,20,6.65199995,0.819479704,NULL,6.564749341,Latin America and Caribbean,NULL,0.082287982,NULL,6.73925056,2017
United Arab Emirates,1.734703541,1.626343369,1.266410232,0.60834527,0.360941947,21,6.647999763,0.726798236,NULL,6.573952223,Middle East and Northern Africa,NULL,0.324489564,NULL,6.722047304,2017
Brazil,2.769267082,1.10735321,1.431306005,0.437453747,0.162349895,22,6.635000229,0.616552353,NULL,6.544530956,Latin America and Caribbean,NULL,0.111092761,NULL,6.725469502,2017
Czech Republic,2.451861858,1.352682352,1.433885217,0.490946174,0.088106759,23,6.609000206,0.754444003,NULL,6.534137949,Central and Eastern Europe,NULL,0.036872927,NULL,6.683862463,2017
Argentina,2.614005327,1.185295463,1.440451145,0.494519204,0.109457061,24,6.598999977,0.695137084,NULL,6.507914868,Latin America and Caribbean,NULL,0.059739888,NULL,6.690085086,2017
Mexico,2.837154865,1.153183818,1.21086216,0.412730008,0.120990433,25,6.578000069,0.709978998,NULL,6.48485123,Latin America and Caribbean,NULL,0.132774115,NULL,6.671148908,2017
Singapore,1.216362,1.69227767,1.353814363,0.549840569,0.345965981,26,6.572000027,0.949492395,NULL,6.507276984,Southeastern Asia,NULL,0.464307785,NULL,6.636723069,2017
Malta,1.556862831,1.343279839,1.488411665,0.588767052,0.574730575,27,6.52699995,0.821944237,NULL,6.455603128,Western Europe,NULL,0.153066069,NULL,6.598396773,2017
